matrix_id,candidate_id,vector,support,support_size,extended_support,extended_support_size,multiplier,is_ess,reason_ess,payoff,payoff_double
25,16,"29/164,0,21/82,0,11/164,0,0,11/164,0,21/82,0,29/164,0,0,0,0",2709,6,2709,6,16,True,T_pd_dbl,741/164,4.518293
25,17,"11/164,29/164,0,0,29/164,11/164,0,0,0,0,21/82,21/82,0,0,0,0",3123,6,3123,6,16,True,T_pd_dbl,741/164,4.518293
25,18,"29/164,21/82,0,0,11/164,0,0,11/164,0,0,21/82,29/164,0,0,0,0",3219,6,3219,6,16,True,T_pd_dbl,741/164,4.518293
25,19,"11/164,0,21/82,21/82,0,11/164,0,0,0,29/164,0,0,29/164,0,0,0",4653,6,4653,6,16,True,T_pd_dbl,741/164,4.518293
25,20,"29/164,0,21/82,29/164,0,0,0,11/164,0,21/82,0,0,11/164,0,0,0",4749,6,4749,6,32,True,T_pd_dbl,741/164,4.518293
26,1,"28749164525/346394694152,21690736721/173197347076,19696997537/173197347076,20870507393/173197347076,19931699249/173197347076,20870507393/173197347076,19696997537/173197347076,21690736721/173197347076,28749164525/346394694152,0,0,0,0,0,0,0,0",511,9,511,9,17,True,T_pd_dbl,205991853749017/173197347076,1189.347627
26,2,"9803371950/57945710521,0,907719625/57945710521,8747445907/57945710521,16622828177/173837131563,23840250317/173837131563,16622828177/173837131563,8747445907/57945710521,907719625/57945710521,0,9803371950/57945710521,0,0,0,0,0,0",1533,9,1533,9,17,True,T_pd_dbl,206757281682346/173837131563,1189.373524
26,3,"11230724550337739682/64181286194914897573,29718511172899006527/705994148144063873303,85775416077354668259/705994148144063873303,55674302349519219895/2823976592576255493212,0,117016941643586817435/705994148144063873303,55130569348588754268/705994148144063873303,116787798951211494657/705994148144063873303,0,0,43877579492620363075/705994148144063873303,0,480923143266831310425/2823976592576255493212,0,0,0,0",5359,9,5359,9,34,True,T_pd_dbl,839686852017775217327851/705994148144063873303,1189.368006
26,4,"2883942495230659345/15722143828145984774,0,4277364191244370655/94332862968875908644,799106185129703991/7861071914072992387,1270614704769894389/23583215742218977161,7125614498508899473/47166431484437954322,4057120058967618973/47166431484437954322,2521615321557076459/15722143828145984774,0,0,14038844716104576475/94332862968875908644,0,1091017500868580725/15722143828145984774,0,0,0,0",5373,9,5373,9,34,True,T_pd_dbl,56098039993805648525399/47166431484437954322,1189.363669
26,5,"844318535075/5089391850548,0,258066733825/2544695925274,139654267405/5089391850548,0,212236749176/1272347962637,97821329220/1272347962637,212236749176/1272347962637,0,139654267405/5089391850548,258066733825/2544695925274,0,844318535075/5089391850548,0,0,0,0",5869,9,5869,9,17,True,T_pd_dbl,1513289632815759/1272347962637,1189.367749
